College,Department,Prefix,Number,Title,Credits,Attributes
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4936,Capstone in Africana Studies,3," CST, SD10, TGEH"
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFA,4940,Internship in Africana Studies,3-6," INT, SD10, TGEH"
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6108,Social Construction of Race and Racism,3,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6120,Social Theory and Social Thought,3,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6207,African American Historiography,3,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6355,African American Community Research: Ethnography,3,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6387,Seminar on Genocide and Human Rights,3,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6905,Independent Study,1-19,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6932,Topics in Africana Studies,3,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6945,Internship,1-3,
College of Arts and Sciences: School of Social Sciences,School of Interdisciplinary Global Studies,AFA,6971,Thesis,2-19,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFH,3100,African History to 1850,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFH,3200,African History since 1850,3,
College of Arts and Sciences: School of Humanities,Department of History,AFH,6300,Roman North Africa,3,
Undergraduate Studies,Department of Undergraduate Studies,AFR,1101,The Foundation of the United States Air Force Pt 1,1,
Undergraduate Studies,Department of Undergraduate Studies,AFR,1120,The Foundations of the United States Air Force Pt 2,1,
Undergraduate Studies,Department of Undergraduate Studies,AFR,2001,Air Force ROTC Leadership Laboratory,0,
Undergraduate Studies,Department of Undergraduate Studies,AFR,2130,"Evolution of USAF Air and Space Power, Part I",1,
Undergraduate Studies,Department of Undergraduate Studies,AFR,2140,"Evolution of USAF Air and Space Power, Part II",1,
Undergraduate Studies,Department of Undergraduate Studies,AFR,3220,Air Force Management and  Leadership I,3,
Undergraduate Studies,Department of Undergraduate Studies,AFR,3231,Air Force Management and Leadership II,3,
Undergraduate Studies,Department of Undergraduate Studies,AFR,4201,National Security Affairs & Preparation for Active Duty I,3,
Undergraduate Studies,Department of Undergraduate Studies,AFR,4211,National Security Affairs & Preparation for Active Duty II,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFS,2250,Culture and Society in Africa,3, 6AC
College of Arts and Sciences,School of Interdisciplinary Global Studies,AFS,4910,Individual Research,1-3,
